id,latitude,longitude,room_type,first_year,last_year
2427917,52.4847,13.52067,Private room,2016.0,2018.0
2428848,52.50544,13.47087,Private room,2017.0,2017.0
2446432,52.46614,13.5775,Entire home/apt,2015.0,2019.0
2485985,52.53335,13.34266,Entire home/apt,2015.0,2025.0
2492162,52.51169,13.39975,Private room,2015.0,2022.0
2534755,52.51436,13.46202,Private room,2021.0,2025.0
2563181,52.49393,13.29503,Entire home/apt,2017.0,2017.0
2588639,52.47748,13.43754,Entire home/apt,2018.0,2018.0
2602460,52.60048,13.33013,Entire home/apt,2015.0,2025.0
2616603,52.52343,13.45323,Entire home/apt,2015.0,2025.0
2644458,52.53234,13.42974,Entire home/apt,2017.0,2018.0
2667188,52.5183449,13.2967635,Entire home/apt,2023.0,2025.0
2706629,52.49833,13.42464,Private room,2015.0,2022.0
2727771,52.49506,13.46968,Entire home/apt,2017.0,2018.0
2742817,52.46798,13.42307,Private room,2016.0,2025.0
2749597,52.48931,13.4289,Entire home/apt,2016.0,2016.0
2760114,52.4337,13.24956,Entire home/apt,2015.0,2025.0
2791185,52.50303,13.4817,Private room,2015.0,2019.0
2850204,52.4895,13.37683,Entire home/apt,2015.0,2025.0
2895197,52.53966,13.41953,Entire home/apt,2015.0,2025.0
3055569,52.47405,13.42505,Entire home/apt,2015.0,2025.0
3080746,52.53645,13.41032,Entire home/apt,2015.0,2017.0
3105942,52.50637,13.30523,Entire home/apt,2020.0,2025.0
3109265,52.50985,13.44612,Private room,2019.0,2025.0
3152009,52.55518,13.43056,Entire home/apt,2015.0,2015.0
3308204,52.53283,13.43439,Private room,2015.0,2025.0
3367119,52.49189,13.38204,Private room,2015.0,2023.0
3378895,52.52107,13.35737,Entire home/apt,2017.0,2019.0
3404630,52.4844,13.43868,Private room,2016.0,2016.0
3435726,52.51783,13.46279,Private room,2015.0,2015.0
3466505,52.52483,13.45532,Entire home/apt,2019.0,2023.0
3474302,52.49441,13.52886,Entire home/apt,2015.0,2025.0
3480916,52.51101,13.4489,Private room,2015.0,2022.0
3492384,52.49062,13.45371,Entire home/apt,2015.0,2016.0
3522082,52.52427291870117,13.402703285217283,Entire home/apt,2015.0,2016.0
3532442,52.53095,13.39825,Private room,2018.0,2018.0
3593470,52.47702,13.44985,Entire home/apt,2015.0,2019.0
3643460,52.51504,13.45506,Private room,2024.0,2025.0
3653480,52.52949,13.38479,Entire home/apt,2017.0,2020.0
3658723,52.53735,13.39806,Entire home/apt,2025.0,2025.0
3686192,52.55158,13.44919,Entire home/apt,2016.0,2025.0
3706476,52.47828,13.42379,Private room,2015.0,2024.0
3707444,52.53244,13.405394,Entire home/apt,2015.0,2025.0
3727033,52.4493,13.51294,Entire home/apt,2015.0,2024.0
3727551,52.44832,13.51374,Entire home/apt,2015.0,2025.0
3746958,52.48891,13.3747,Entire home/apt,2017.0,2017.0
3771794,52.53466,13.42364,Entire home/apt,2015.0,2025.0
3783117,52.50318,13.41825,Private room,2019.0,2025.0
3786908,52.53652,13.41902,Entire home/apt,2015.0,2025.0
3795921,52.55128,13.41583,Private room,2015.0,2015.0
3807087,52.48223,13.32025,Entire home/apt,2015.0,2021.0
3846150,52.55765,13.37021,Private room,2015.0,2015.0
3855945,52.53358,13.35789,Private room,2016.0,2016.0
3866359,52.47063,13.4248,Entire home/apt,2015.0,2019.0
3866928,52.52872,13.43339,Private room,2016.0,2021.0
3871092,52.50475,13.40814,Private room,2016.0,2016.0
3883715,52.54065,13.40602,Private room,2015.0,2025.0
3970900,52.4838,13.44112,Private room,2021.0,2025.0
3974304,52.48075,13.36271,Entire home/apt,2015.0,2025.0
3974716,52.51147,13.42611,Entire home/apt,2022.0,2025.0
3988630,52.50575,13.30126,Entire home/apt,2015.0,2015.0
4013666,52.53059237315674,13.373520491176626,Entire home/apt,2024.0,2025.0
4015015,52.55384,13.37455,Entire home/apt,2015.0,2016.0
4056601,52.50252,13.55676,Entire home/apt,2016.0,2025.0
4065972,52.51659,13.30559,Entire home/apt,2017.0,2017.0
4100566,52.54176,13.35694,Entire home/apt,2022.0,2025.0
4102472,52.37924,13.65091,Entire home/apt,2015.0,2025.0
4134166,52.46435,13.33088,Private room,2015.0,2017.0
4138491,52.48299,13.35876,Entire home/apt,2015.0,2015.0
4165545,52.52049,13.46576,Private room,2015.0,2018.0
4201970,52.47720853877755,13.420971772083954,Private room,2016.0,2025.0
4240183,52.52018,13.33145,Entire home/apt,2015.0,2025.0
4246768,52.52504,13.39436,Private room,2016.0,2025.0
4290174,52.63302,13.50115,Entire home/apt,2015.0,2025.0
4298404,52.49393,13.34456,Entire home/apt,2015.0,2015.0
4300348,52.53227,13.37643,Private room,2016.0,2024.0
4352958,52.5073,13.28522,Entire home/apt,2018.0,2020.0
4361737,52.51243,13.45166,Private room,2019.0,2025.0
4362839,52.5335,13.40624,Private room,2015.0,2025.0
4391574,52.54939,13.40937,Private room,2016.0,2016.0
4406052,52.63336,13.50118,Entire home/apt,2015.0,2023.0
4415891,52.53995,13.39632,Private room,2018.0,2025.0
4419264,52.50049,13.46538,Entire home/apt,2015.0,2017.0
4435646,52.48338,13.43877,Entire home/apt,2015.0,2016.0
4448981,52.52271,13.38408,Entire home/apt,2015.0,2025.0
4453432,52.5477,13.41106,Entire home/apt,2015.0,2025.0
4462848,52.50848,13.30952,Entire home/apt,2015.0,2025.0
4468054,52.47498,13.42189,Private room,2015.0,2017.0
4479415,52.49005,13.4057,Entire home/apt,2015.0,2017.0
4488888,52.528496777886794,13.409468866674285,Entire home/apt,2024.0,2025.0
4505069,52.55945,13.41526,Entire home/apt,2015.0,2015.0
4510046,52.48434,13.44532,Private room,2015.0,2018.0
4515108,52.506001,13.39886,Private room,2015.0,2025.0
4539101,52.4590307,13.3161177,Entire home/apt,2025.0,2025.0
4546129,52.48367,13.43737,Private room,2016.0,2017.0
4547206,52.4965,13.44653,Entire home/apt,2015.0,2016.0
4552063,52.49961471557617,13.43396282196045,Entire home/apt,2015.0,2025.0
4554834,52.48793,13.30308,Private room,2015.0,2022.0
4560502,52.53023965135683,13.4079157023717,Private room,2015.0,2025.0
4568754,52.49447515051324,13.425374464834364,Entire home/apt,2022.0,2025.0
4573930,52.49173,13.43279,Entire home/apt,2015.0,2018.0
4581049,52.52753,13.44648,Entire home/apt,2017.0,2025.0
4592944,52.38054,13.65153,Entire home/apt,2017.0,2017.0
4593350,52.54303,13.41228,Entire home/apt,2015.0,2017.0
4595043,52.50432,13.41074,Entire home/apt,2015.0,2024.0
4600006,52.49158,13.39179,Entire home/apt,2015.0,2020.0
4607356,52.52641,13.4422,Entire home/apt,2015.0,2025.0
4636280,52.52251877745493,13.383566674777562,Entire home/apt,2015.0,2025.0
4642736,52.44291,13.41464,Private room,2016.0,2022.0
4658675,52.52291,13.39852,Entire home/apt,2015.0,2025.0
4662175,52.53258,13.3388,Entire home/apt,2015.0,2024.0
4674406,52.50889,13.49844,Entire home/apt,2015.0,2015.0
4679705,52.531,13.4091,Private room,2015.0,2016.0
4682639,52.54852,13.36739,Entire home/apt,2015.0,2016.0
4702615,52.48977,13.32905,Entire home/apt,2015.0,2025.0
4702673,52.477430881588255,13.422756943022112,Private room,2015.0,2020.0
4704005,52.55291,13.37817,Private room,2015.0,2015.0
4725318,52.491,13.4528,Entire home/apt,2015.0,2022.0
4726241,52.53185,13.41073,Entire home/apt,2015.0,2016.0
4731140,52.52731,13.38952,Entire home/apt,2015.0,2016.0
4732406,52.52352,13.44913,Entire home/apt,2016.0,2018.0
4734366,52.51976,13.29808,Entire home/apt,2015.0,2015.0
4737384,52.4825,13.44397,Private room,2015.0,2018.0
4744063,52.43157,13.31094,Entire home/apt,2015.0,2025.0
4748491,52.52675,13.39817,Entire home/apt,2015.0,2025.0
4749982,52.56274,13.34238,Entire home/apt,2015.0,2024.0
4779038,52.52427,13.4399,Entire home/apt,2015.0,2018.0
4780087,52.49864,13.41325,Private room,2016.0,2025.0
4781617,52.52944,13.38746,Entire home/apt,2016.0,2016.0
4792286,52.50257,13.43104,Private room,2015.0,2015.0
4793644,52.52857,13.38372,Entire home/apt,2015.0,2025.0
4797474,52.4808,13.42954,Private room,2015.0,2015.0
4804458,52.532661,13.405394,Entire home/apt,2015.0,2025.0
4804494,52.49958,13.44539,Private room,2015.0,2023.0
4816644,52.47784,13.44817,Entire home/apt,2015.0,2015.0
4819036,52.53062,13.41695,Entire home/apt,2015.0,2017.0
4820717,52.49445,13.39362,Entire home/apt,2015.0,2016.0
4823591,52.55529,13.37598,Entire home/apt,2015.0,2025.0
4830714,52.52735,13.39749,Entire home/apt,2015.0,2025.0
4839695,52.53203,13.32656,Private room,2015.0,2015.0
4847553,52.47173,13.45247,Entire home/apt,2015.0,2025.0
4859440,52.47829,13.45071,Private room,2015.0,2015.0
4864695,52.54268,13.42234,Entire home/apt,2015.0,2016.0
4869716,52.49341,13.39472,Entire home/apt,2015.0,2025.0
4882696,52.50392,13.40024,Entire home/apt,2015.0,2025.0
4885068,52.55031,13.42178,Entire home/apt,2015.0,2025.0
4890309,52.47691,13.42202,Entire home/apt,2015.0,2016.0
4898379,52.50548,13.46476,Private room,2015.0,2015.0
4898739,52.48983,13.32508,Private room,2015.0,2020.0
4904892,52.49228,13.42701,Entire home/apt,2015.0,2025.0
4906835,52.5722,13.39336,Private room,2015.0,2025.0
4911748,52.52906,13.39031,Private room,2016.0,2025.0
4912816,52.47725,13.45002,Private room,2018.0,2018.0
4913359,52.50655,13.40492,Private room,2015.0,2016.0
4930385,52.48583,13.42917,Entire home/apt,2015.0,2015.0
4933665,52.5354,13.37812,Entire home/apt,2015.0,2025.0
4965994,52.49145,13.42459,Entire home/apt,2015.0,2025.0
4981709,52.48917,13.45165,Private room,2015.0,2025.0
4982472,52.4689,13.49179,Private room,2015.0,2025.0
4992427,52.46874,13.43858,Entire home/apt,2015.0,2016.0
5008340,52.48678,13.38892,Entire home/apt,2017.0,2020.0
5023886,52.54644,13.4559,Entire home/apt,2015.0,2015.0
5047938,52.54793,13.34609,Private room,2019.0,2021.0
5054525,52.49626,13.40495,Entire home/apt,2017.0,2017.0
5060152,52.53581,13.40437,Entire home/apt,2019.0,2025.0
5065008,52.46511,13.56983,Entire home/apt,2015.0,2025.0
5074066,52.53158,13.34794,Entire home/apt,2015.0,2016.0
5074146,52.48016,13.42229,Private room,2021.0,2021.0
5081996,52.49085,13.4356,Entire home/apt,2015.0,2025.0
5090483,52.48884,13.41663,Private room,2015.0,2016.0
5097341,52.41357,13.2589,Entire home/apt,2015.0,2018.0
5097388,52.51133,13.45551,Private room,2015.0,2020.0
5111098,52.54311,13.41963,Private room,2016.0,2019.0
5115511,52.51896,13.40425,Entire home/apt,2015.0,2020.0
5119872,52.52212375813178,13.45408139933957,Entire home/apt,2015.0,2025.0
5121824,52.46767,13.48765,Private room,2024.0,2025.0
5123152,52.49339,13.27431,Private room,2015.0,2023.0
5132173,52.49291,13.27571,Private room,2015.0,2019.0
5133260,52.49272,13.27426,Private room,2015.0,2025.0
5157068,52.47213,13.31566,Entire home/apt,2018.0,2025.0
5161247,52.53998,13.40719,Entire home/apt,2015.0,2025.0
5176252,52.51521,13.45833,Entire home/apt,2015.0,2019.0
5188216,52.48073,13.42813,Entire home/apt,2015.0,2025.0
5191010,52.52063,13.39481,Entire home/apt,2015.0,2025.0
5233564,52.5291,13.38869,Entire home/apt,2015.0,2016.0
5273943,52.51560422716497,13.292092956728013,Private room,2015.0,2025.0
5281256,52.49315,13.34435,Entire home/apt,2015.0,2025.0
5283309,52.49822,13.4151,Private room,2015.0,2017.0
5285059,52.49185,13.42255,Private room,2015.0,2015.0
5335113,52.43237,13.27842,Entire home/apt,2015.0,2025.0
5336433,52.49862,13.42605,Entire home/apt,2022.0,2024.0
5336825,52.47975,13.42739,Private room,2015.0,2019.0
5359079,52.48619,13.38771,Entire home/apt,2018.0,2019.0
5368270,52.49181,13.43133,Private room,2015.0,2025.0
5377067,52.49843,13.35094,Entire home/apt,2016.0,2025.0
