id,latitude,longitude,room_type,first_year,last_year
654931,52.37167,4.8948,Hotel room,2012.0,2025.0
655216,52.37098,4.89434,Hotel room,2012.0,2025.0
660856,52.3551,4.93262,Entire home/apt,2012.0,2025.0
664697,52.38537,4.90241,Entire home/apt,2012.0,2018.0
667305,52.41878,4.89397,Entire home/apt,2013.0,2025.0
683431,52.34557,4.8962,Private room,2014.0,2025.0
685990,52.38296,4.83786,Private room,2012.0,2025.0
689623,52.37174,4.92579,Entire home/apt,2013.0,2025.0
694850,52.37276,4.89932,Private room,2012.0,2025.0
696113,52.36158,4.97639,Entire home/apt,2012.0,2025.0
698672,52.36706,4.86465,Entire home/apt,2012.0,2023.0
701812,52.35499,4.87262,Entire home/apt,2012.0,2025.0
702894,52.37449,4.84762,Entire home/apt,2012.0,2020.0
708528,52.35537,4.89477,Private room,2016.0,2025.0
716107,52.36462,4.86824,Entire home/apt,2013.0,2025.0
728144,52.36112,4.89632,Entire home/apt,2012.0,2025.0
728145,52.35258865356445,4.894248962402344,Entire home/apt,2012.0,2025.0
729260,52.38079,4.88536,Entire home/apt,2012.0,2025.0
729317,52.36052,4.89568,Private room,2017.0,2025.0
730916,52.3731,4.86859,Private room,2012.0,2024.0
733654,52.37098,4.9227,Entire home/apt,2012.0,2023.0
741043,52.37654,4.87003,Entire home/apt,2013.0,2025.0
742160,52.36719,4.92061,Entire home/apt,2013.0,2025.0
744659,52.35659,4.90827,Entire home/apt,2012.0,2025.0
746067,52.38295,4.88726,Entire home/apt,2013.0,2024.0
751626,52.35206604003906,4.915624141693115,Entire home/apt,2012.0,2024.0
754613,52.37266,4.90456,Entire home/apt,2013.0,2025.0
755431,52.37066,4.87405,Private room,2013.0,2025.0
758475,52.36827,4.87107,Entire home/apt,2012.0,2020.0
759060,52.3677,4.88846,Entire home/apt,2013.0,2021.0
759299,52.36115,4.85209,Entire home/apt,2014.0,2025.0
760074,52.36501,4.93792,Entire home/apt,2013.0,2025.0
761411,52.40164,4.95106,Private room,2012.0,2025.0
768274,52.38855,4.88521,Entire home/apt,2013.0,2025.0
768737,52.37824,4.86826,Private room,2013.0,2025.0
771217,52.34125,4.8501,Entire home/apt,2016.0,2019.0
771343,52.37594,4.88387,Private room,2015.0,2025.0
771758,52.34985,4.83578,Private room,2013.0,2025.0
775655,52.37026,4.89931,Private room,2012.0,2025.0
780674,52.36855,4.90766,Entire home/apt,2013.0,2023.0
782254,52.37156696551477,4.8905172796882574,Entire home/apt,2012.0,2025.0
