name,latitude,longitude,room_type,price
Southern Comfort near Vondelpark,52.34904,4.86765,Private room,87.0
Loft right in the city centre,52.36112,4.89462,Entire home/apt,
Appartment in centre of Amsterdam.,52.37213,4.90293,Entire home/apt,
Private Studio on Spectacular Houseboat,52.3904,4.88421,Private room,152.0
GREAT Full family apartment with great park view,52.36022,4.84346,Entire home/apt,187.0
Spacious and well located,52.39442,4.91478,Entire home/apt,
Comfortable clean loft next to Vondelpark!,52.35499,4.85384,Entire home/apt,
Large 3 bedroom apartment surrounde,52.36918,4.91316,Entire home/apt,360.0
Our Cozy Third floor Home,52.36809,4.85436,Entire home/apt,180.0
amazing apartment in Amsterdam!!,52.35567,4.93175,Entire home/apt,
Beautiful large family garden house Vondelpark,52.34788,4.8506,Entire home/apt,280.0
House at waterfront in Amsterdam + parking place,52.32582,4.98403,Entire home/apt,319.0
Modern Houseboat | Jordaan area | A unique stay!,52.37621,4.87075,Private room,164.0
Sleep at Amy's B'n'B Front Room,52.381996,4.888583,Private room,110.0
Your own cottage in the countryside,52.41016,4.96369,Private room,81.0
"Light, spacious apartment in cool Westerpark area",52.3884,4.87148,Entire home/apt,212.0
Beautiful and spacious apartment with big rooftop,52.36247,4.86534,Entire home/apt,
Sleep at Amy's B'n'B Garden Room,52.381996,4.888583,Private room,112.0
"Houseboat near museums, the Pijp, two lovely cats",52.35094,4.88552,Entire home/apt,
Harbour View Houseboat,52.37696,4.94073,Entire home/apt,
Cosy happy family appartment,52.34699973417133,4.891685356600203,Entire home/apt,
"A-location, ensuite bathroom, centre - Milkmaid -",52.37167,4.8948,Hotel room,178.0
A-location ensuite bathroom centre 'Pearl Earring',52.37098,4.89434,Hotel room,166.0
Entire house / 4 floors art-filled family-friendly,52.3551,4.93262,Entire home/apt,395.0
Design Waterfront flat near station,52.38537,4.90241,Entire home/apt,87.0
"Green, sportive experience in A'dam",52.41878,4.89397,Entire home/apt,
Nice Room near to RAI and downtown,52.34557,4.8962,Private room,115.0
Small Room in quiet zon near centre Amsterdam,52.38296,4.83786,Private room,77.0
City beach apartment,52.37174,4.92579,Entire home/apt,162.0
Quiet room in Amsterdam Center,52.37276,4.89932,Private room,90.0
"Stylish Oasis Near City, Lake and Green",52.36158,4.97639,Entire home/apt,233.0
"Lovely house, centrally located!",52.374,4.83851,Entire home/apt,
Cosy and stylish flat in popular Oud-West,52.36706,4.86465,Entire home/apt,
Amsterdam OLD SOUTH Comfort apt 3,52.35499,4.87262,Entire home/apt,
"Cozy and light in Bos en Lommer, 96 m²",52.37449,4.84762,Entire home/apt,
Independent Studio in 'De Pijp',52.35537,4.89477,Private room,
Loft style home nearby city centre,52.36462,4.86824,Entire home/apt,
Beautiful loft in center Amsterdam,52.36112,4.89632,Entire home/apt,463.0
Superb loft apartment in de Pijp!,52.35258865356445,4.894248962402344,Entire home/apt,225.0
Great location modern apartment,52.38079,4.88536,Entire home/apt,184.0
Suite 2 Stay - studio Beautiful Barok - canal area,52.36052,4.89568,Private room,147.0
Room with a view,52.3731,4.86859,Private room,
FAMILY HOME WITH SUNNY PRIVATE GARDEN IN CENTER,52.37098,4.9227,Entire home/apt,
Modern  stylish villa: My Amsterdam Houseboat,52.37654,4.87003,Entire home/apt,590.0
Historical sailing ship in the center of Amsterdam,52.36719,4.92061,Entire home/apt,948.0
Private luxury B&B near Amstel,52.35659,4.90827,Entire home/apt,125.0
Beautiful apartment in canal house,52.38295,4.88726,Entire home/apt,
"Light, quiet, cozy, central",52.35206604003906,4.915624141693115,Entire home/apt,
Canal house - Heart of Amsterdam,52.37266,4.90456,Entire home/apt,429.0
A special spot near the Jordaan ideal for two,52.37066,4.87405,Private room,123.0
"Central apartment 50m2, Old West Jordaan.",52.36827,4.87107,Entire home/apt,
Spacious delightful Canalhouse,52.3677,4.88846,Entire home/apt,
beautiful spacious appartment near Vondelpark,52.36115,4.85209,Entire home/apt,255.0
"Nice Apartment 50m2, East Side!",52.36501,4.93792,Entire home/apt,
Amsterdam sweethome - Clean Quiet Safe,52.40164,4.95106,Private room,
Amazing Canal Loft,52.38855,4.88521,Entire home/apt,295.0
"Room, brandnew luxurious houseboat",52.37824,4.86826,Private room,131.0
Lovely Amsterdam Houseboat,52.34125,4.8501,Entire home/apt,
City Centre Room. En-suite Shower. Roof Terrace.,52.37594,4.88387,Private room,122.0
Nice and Cozy Room Offered in Amsterdam,52.34985,4.83578,Private room,60.0
the Boathouse bed&bike A'dam centre,52.37026,4.89931,Private room,137.0
Beautiful apartment in city centre,52.36855,4.90766,Entire home/apt,
Beautiful apt in city center for FAMILIES ONLY,52.37156696551477,4.8905172796882574,Entire home/apt,
Romantic Houseboat in the center,52.36863707410021,4.899095646157325,Private room,199.0
Spacious house in Helmersdistrict for families,52.36087,4.87017,Entire home/apt,
mediterranean ambiance appartment,52.36884,4.86127,Entire home/apt,118.0
Charlie + Coco's Apartment,52.35205,4.90267,Entire home/apt,
Sleeping in a unique ship in the center of A'dam!,52.36476,4.90925,Private room,140.0
Sunny & Bright 3 bed apt with Roof terrace,52.34725,4.89341,Entire home/apt,
Old South Lovely Garden Apartment,52.35323,4.85421,Entire home/apt,130.0
Modern apt with canal and park view,52.37216,4.87172,Entire home/apt,
Simple central canal appt.With garden.,52.36123,4.89619,Entire home/apt,144.0
Very charming home and lush garden!,52.36905,4.86251,Entire home/apt,
Studio Mondriaan Amsterdam,52.37272,4.90418,Private room,123.0
Occasional availability Centre Apt,52.36899,4.91607,Entire home/apt,
Amsterdam OLD SOUTH 2,52.35309,4.87353,Entire home/apt,
Very cosy apt at top location,52.35332,4.88739,Entire home/apt,
Lovely apartment @Vondelpark for families,52.3607,4.85991,Entire home/apt,340.0
HOUSEBOAT NOVA 80m2 + FREE BIKES,52.33875,4.84852,Entire home/apt,138.0
Perfect location bright cosy appt!,52.35327,4.88703,Entire home/apt,
Fancy apartment heart of Amsterdam,52.38139,4.88541,Entire home/apt,250.0
Sunny apartment Amsterdam Zuid behind Museumsquare,52.35584,4.87401,Private room,156.0
Tranquil wooden house with free parking,52.41197649999999,4.9079143,Private room,112.0
Bright apt in center with canal view and king bed!,52.3719,4.86534,Entire home/apt,
The Weavery Boutique Bed&Breakfast2,52.361362,4.890488,Private room,172.0
The Weavery Boutique Bed&Breakfast1,52.36136245727539,4.890488147735596,Private room,235.0
Spacious room with private bathroom,52.3418,4.91066,Private room,108.0
"Bed & Boat, apartment on houseboat. Free Parking.",52.343079,4.788886,Private room,144.0
Lux 2-bed aprt + 2 bath + 2 terrace,52.35658,4.85359,Entire home/apt,439.0
Houseboat in central Amsterdam,52.37342,4.8693,Entire home/apt,340.0
Trendy apartment in Oud-West,52.36997595854369,4.856519718051397,Entire home/apt,103.0
A cosy Bed and Breakfast in A'dam.,52.33229,4.87431,Private room,89.0
Big central Jordaan apt + rooftop!,52.379,4.87909,Entire home/apt,
Spacious family house in city centre,52.35864,4.87632,Entire home/apt,
Tranquil wooden house with free parking,52.41197649999999,4.9079143,Private room,95.0
Houseboat: Our little paradise in Amsterdam,52.34147,4.84983,Entire home/apt,127.0
Ecoluxe accommodation 'The Green Tunnel',52.356197,4.991435,Private room,209.0
"Sailing ship LOTUS, unique group accommodation",52.4016,4.89785,Private room,668.0
The A'dam experience! Spacious Loft,52.3624,4.86575,Entire home/apt,
Cozy apartment near lively neighborhood Jordaan,52.37991,4.87414,Entire home/apt,108.0
"Boutique room style ,room in quiet neighborhood",52.35595,4.79661,Private room,100.0
"Great house,Perfect place, S-Garden",52.35149,4.92265,Entire home/apt,128.0
"Clean studio, 2e floor, no elevator, in suburb!",52.32019,4.95501,Private room,85.0
"Private studio near Ziggo Dome & Arena, in suburb",52.32019,4.95501,Private room,86.0
"Modern, spacious designer house",52.36084550323894,4.980601130578248,Entire home/apt,276.0
"All private, city center @ homestay Wendie",52.36561,4.88492,Private room,152.0
"Space, glass floors & roof terrace",52.35531,4.90333,Entire home/apt,355.0
Living in a houseboat on the water,52.34122,4.84977,Private room,95.0
Lovely Room in nice apartment,52.37225,4.86262,Private room,
Travel and sleep like a local 75m2,52.35082,4.8877,Entire home/apt,
Waterfront B&B,52.381615,4.877059,Private room,85.0
Ultimate location at inner city Amsterdam,52.3643,4.89533,Entire home/apt,
"Nice,new app. nearby Center/Jordaan",52.37367,4.87394,Entire home/apt,250.0
Beautiful apartment in centre,52.35781,4.91027,Entire home/apt,150.0
Luxury BedonBoard on Beautiful Houseboat Amsterdam,52.37998,4.86959,Private room,127.0
A'dam West - room with double bed,52.36369,4.83861,Private room,86.0
Canal app. 80m² Museum+shop area,52.36181,4.88783,Private room,
"Michèle's Houseboat 'de Pijp', Brasil Room",52.35099,4.886627,Private room,164.0
central canal apartment,52.37811,4.89196,Entire home/apt,255.0
Big and stylish family-home with garden.,52.35166,4.83893,Entire home/apt,291.0
"Houseboat,Centre,Garden, Breakfast, Cheap parking",52.38355,4.90951,Private room,157.0
Two layer apartment (118m2) with roof terrace,52.36926,4.86997,Entire home/apt,
Big trendy family loft in city center Amsterdam,52.38793182373047,4.884929180145264,Entire home/apt,808.0
Museum square - light apartment - rooftop terrace,52.3543,4.88103,Entire home/apt,
Amsterdam East,52.35974,4.94089,Entire home/apt,
"Center, 2 storey cornerhouse, 4 BR, Canalview!",52.36181,4.91856,Entire home/apt,750.0
Charming Private Studio Westerpark,52.38912,4.87907,Entire home/apt,119.0
Big family house with garden!,52.36227,4.92893,Entire home/apt,250.0
Lovely bright room with balcony and beatiful view!,52.34746,4.87559,Private room,76.0
House along the water in Amsterdam,52.36255,4.976,Entire home/apt,195.0
Amstel Fab Apart Centre Quiet near Amstel Hotel,52.35764,4.9067,Entire home/apt,173.0
Spacious&Light apt. + sunny balcony @ lively area!,52.37839,4.84853,Entire home/apt,
Dahli's Sleep Boutique - Streetview,52.36256,4.89809,Private room,200.0
sunny artistic attic with terrace,52.36688,4.87684,Entire home/apt,
Bright in the centre of Amsterdam,52.36462,4.90399,Entire home/apt,
Houseboat Neeltje unique experience,52.3735,4.90688,Private room,165.0
Lovely House for families/couples. Bikes available,52.35381317138672,4.941221237182617,Entire home/apt,295.0
Great spacious apartment (De Pijp),52.35174,4.89701,Entire home/apt,
"Deluxe Room, Whirlpool, Center, Qpark nearby",52.37871,4.84688,Private room,85.0
Sunny Bolo Gem: Cozy 2-Bedroom Retreat,52.37784,4.86178,Entire home/apt,287.0
XL luxurious houseboat on hot spot,52.39018,4.88716,Entire home/apt,591.0
Middle of Amsterdam,52.37182,4.87565,Entire home/apt,
Stylish apartment close to major museums,52.3537,4.88632,Entire home/apt,
Stylish Trendy Room Whirlpool Q park nearby,52.37802,4.84513,Private room,88.0
Light and spacious in residential area in center,52.3702,4.92103,Entire home/apt,198.0
B&B Calypso Amsterdam,52.31774,4.94647,Private room,159.0
Cosy city apartment,52.38231,4.84866,Entire home/apt,
Quietness and the city life,52.34227,4.91217,Entire home/apt,150.0
Sunny Central Flat Overlooking Amsterdam Canal,52.371,4.87158,Entire home/apt,284.0
