name,latitude,longitude,room_type,price
Relax close to Trastevere: cool & confy apt,41.87322235107422,12.449987411499023,Entire home/apt,70.0
Vista panoramica su Roma,41.8759,12.48786,Entire home/apt,72.0
"Next to the Vaticano, Metro, wi fi",41.90762,12.45582,Entire home/apt,190.0
Appartamento vicino a San Pietro - ATR-009313-4,41.90862,12.45993,Private room,342.0
DormiRoma - Cedro 3 Apartment - Trastevere,41.88992,12.46823,Entire home/apt,157.0
Close to St. Peter's Basilica  Le antiche Fornaci,41.89689,12.45695,Entire home/apt,177.0
"2 steps Vatican&Colosseum, Your Home in Rome",41.87906,12.45054,Entire home/apt,101.0
Anna Home at Roman Forum,41.89484,12.48758,Entire home/apt,
Casa Pariolina - Suite The Romantic,41.92239,12.487604,Entire home/apt,140.0
Casa Pariolina-Suite Villa Borghese,41.92239,12.487604,Entire home/apt,162.0
Beautiful countryside villa - Rome,42.05745,12.48699,Entire home/apt,95.0
Sotto il cielo di Roma B&B (Luna),41.85137176513672,12.473387718200684,Private room,
House of Colors ! Fast WiFi+Netflix,41.887333,12.532795,Entire home/apt,85.0
PANTHEON CHARMING ACCOMODATION,41.89738,12.476,Entire home/apt,311.0
Bright&Cosy Penthouse Overlooking St. Peter's Dome,41.91321,12.45482,Entire home/apt,125.0
Cozy bright Loft in Trastevere,41.882,12.4673,Entire home/apt,116.0
"Sanniti apartment, San Lorenzo stylish top floor",41.89805,12.51563,Entire home/apt,108.0
Nice & bright apt in St. Peter,41.89858,12.45363,Entire home/apt,
New Perfect place apt 7 in campo de fiore area,41.89585,12.47333,Entire home/apt,137.0
New Perfect place apt 6 in campo dei fiori area,41.89476,12.47379,Entire home/apt,160.0
Tiziana house near the Imperial Rome,41.87568,12.50485,Entire home/apt,73.0
"luxury apartment st. peter, vatican",41.89723,12.45127,Entire home/apt,286.0
"Vatican: 2, 3, 4 Guests Room - 2 double beds B&B",41.90916,12.4562,Private room,144.0
"Cozy Double Room B&B near Vatican, Rome",41.910053,12.457028,Private room,121.0
Romantic getaway in Campo dei Fiori,41.89687,12.47044,Entire home/apt,152.0
Trastevere Bright and Charming Apt,41.88695,12.46911,Entire home/apt,208.0
Garden View ShortLet 11people,41.90728,12.50053,Entire home/apt,561.0
Enjoy apartment luxury in Rome,41.89711,12.49997,Entire home/apt,797.0
"LA CASA DEI GERANI, for up to 5+BABY!! AIRCON,WIFI",41.93176,12.5224,Entire home/apt,94.0
Attic Sannio with terrace,41.88396,12.50654,Entire home/apt,123.0
"Modern apt with A/C and Wi-Fi, 20m from the metro",41.88240051269531,12.514650344848633,Entire home/apt,103.0
Cozy Terrace by Vatican Museums New wifi 100Mbs !,41.90642,12.44725,Entire home/apt,100.0
Luminosa dimora al Centro di Roma 70 mq con wifi,41.90447,12.47536,Entire home/apt,137.0
The Queen,41.91247681352512,12.442726320927866,Entire home/apt,115.0
Cozy Pigneto flat with lovely private terrace,41.88876652778042,12.529838562011737,Entire home/apt,95.0
"Elegant, historic villa, air-con, pool, spa, bbq",41.98959,12.52154,Entire home/apt,1303.0
Bonheur Monti,41.89733,12.4917,Entire home/apt,118.0
Cappellari 2 Campo dei Fiori,41.89747,12.46875,Entire home/apt,186.0
Cappellari 3 Campo dei Fiori,41.89765,12.47075,Entire home/apt,167.0
"Gli Archi 4 posti WIFI, Roma",41.86278533935547,12.543291091918944,Entire home/apt,77.0
The Historic Nobleman's Loft -5 Bedrooms!,41.89149,12.47062,Entire home/apt,1012.0
"DOMUS BERNARDINI ""C""",41.89157,12.43774,Entire home/apt,
Aenea's B&B in the heart of Rome,41.89818954467773,12.503888130187988,Hotel room,139.0
"St. Peter luxury apartment, vatican",41.89482,12.45292,Entire home/apt,170.0
"Space Home Piazza Navona, Rome",41.8997885,12.4708188,Entire home/apt,233.0
WikiRome Vatican 1to4 people Wi-Fi Fiber 2.5 Giga,41.90982,12.45652,Entire home/apt,105.0
Piazza Navona beautiful apartment,41.89967,12.46764,Entire home/apt,
Apt with mini gardenCampo de Fiori Pantheon,41.8925,12.47865,Entire home/apt,304.0
Roma Villa Borghese B&B camera 2,41.91736,12.49732,Private room,71.0
"World Wide Bed Prenestino. ""Easy"" room ensuite",41.89505,12.54556,Private room,
Perfect place apt 5 in campo de fiori area,41.89556,12.47273,Entire home/apt,144.0
The Vatican Flat - Chic w/Jacuzzi,41.91299,12.45304,Entire home/apt,
