name,latitude,longitude,room_type,price
City Center Apt in Lively Bairro Alto!,38.71308,-9.14514,Entire home/apt,255.0
C1 Fully Renovated & Modern | Central | BICA | A/C,38.71099,-9.14829,Entire home/apt,270.0
Lovely Apartment close to the sea,38.69918,-9.43981,Entire home/apt,112.0
Central Apartment & 360º Terrace,38.7213,-9.14437,Entire home/apt,124.0
200yrs apart. - Balcony and WIFI! 2,38.72139,-9.14023,Entire home/apt,97.0
Heart of Lisbon: varanda and  A/C,38.72419,-9.1474,Entire home/apt,108.0
200yr Duplex Apartment beside garden with lake,38.72138,-9.13945,Entire home/apt,95.0
Cozy 3 Bedroom Apt in lively Bairro Alto,38.71308,-9.14514,Entire home/apt,162.0
"Bairro Alto Cute Apartment, Central",38.71279,-9.14503,Entire home/apt,82.0
Confortable & contemporary - Expo,38.7787,-9.09634,Entire home/apt,115.0
"Alfama,Lisbon--Window of the World",38.71143,-9.12778,Entire home/apt,80.0
até 4 p Alfama - Sé de Lisboa I,38.71235,-9.1275,Entire home/apt,155.0
Central - Alfama - Sé de Lisboa II,38.71252,-9.12911,Entire home/apt,125.0
LISBON HISTORICAL CITY CENTER APART,38.70989,-9.13637,Entire home/apt,165.0
Da Silva Surfcamp Areia Branca,39.27423,-9.31898,Entire home/apt,731.0
Downtown Lisbon - Sunny and central,38.70943,-9.13722,Entire home/apt,79.0
Bairro Alto Vintage Apartment ! (90 m2),38.71386,-9.14483,Entire home/apt,120.0
Quiet flat in middle Bairro Alto,38.71112,-9.14799,Entire home/apt,114.0
1 BR apartment in central Lisbon,38.71246,-9.15262,Entire home/apt,90.0
S. Lourenço Street / Lisbon Center,38.71418,-9.13572,Entire home/apt,112.0
BERNARDIM BEIGE IN CENTRAL LISBON,38.72659,-9.14522,Entire home/apt,200.0
BERNARDIM BLUE  IN CENTRAL LISBON,38.72488,-9.14511,Entire home/apt,179.0
BERNARDIM WHITE  IN LISBON,38.72541,-9.14519,Entire home/apt,131.0
Casa de Pedra - CASAS DA MARIA,39.28958,-9.21641,Entire home/apt,80.0
Casa da Saudade - Praça das Flores,38.71446,-9.15179,Entire home/apt,165.0
VISIT LISBON,38.73478,-9.28131,Private room,
Romantic 2 Bedrooms Apartment @ Campolide,38.727,-9.16478,Entire home/apt,120.0
Huge 6Bedroom Apartments. Jardim do Príncipe Real.,38.71665,-9.14627,Entire home/apt,354.0
Apartment in Historic  Building,38.70498,-9.17156,Entire home/apt,82.0
Huge 13 Bedroom Apartments in Príncipe Real,38.71724,-9.14755,Entire home/apt,1080.0
Lightful 3Bedroom Apartment in Príncipe Real.,38.71693,-9.148,Entire home/apt,135.0
Sunny apartment with a river view,38.70691,-9.14846,Entire home/apt,90.0
Fantastic Sea View in Ericeira,38.98615,-9.41622,Entire home/apt,135.0
Alfama 1 | Terrace Lisboa Vida Boa,38.71337,-9.12548,Entire home/apt,112.0
Cascais Central Charming Duplex,38.69641,-9.42494,Entire home/apt,140.0
Watch from your bed the river Tejo,38.71732,-9.13098,Entire home/apt,90.0
A room at the República das bananas,38.7338,-9.133,Private room,40.0
Cute & Cozy Boho Gem Avenida Lisbon,38.71956,-9.14255,Entire home/apt,104.0
