name,latitude,longitude,room_type,price
Penthouse with Stunning Balcony Near Plaza Mayor,40.4158,-3.70962,Entire home/apt,243.0
Single/Double private room,40.36725,-3.68875,Private room,48.0
"Great Design, Views and Location",40.41906,-3.70627,Entire home/apt,173.0
ROOM DUPLEX-ATICO NEAR MADRID RIO,40.39523,-3.7132,Private room,21.0
Atocha Attic - Unbeatable Location,40.40661,-3.6952,Entire home/apt,99.0
Cosy Plaza Mayor apartment in central Madrid,40.41596,-3.70846,Entire home/apt,
NiceStay_HighValue_Orange RoomWIFI,40.40743,-3.74293,Private room,29.0
"Beautiful attic, best location.",40.41769,-3.69974,Entire home/apt,
"Quiet room well located, Av.America",40.43922,-3.67574,Private room,
DUPLEX AT MADRID CENTER WITH POOL,40.40349,-3.70418,Entire home/apt,
"Spectacular Triplex in Canaleja, Sol",40.41730117797852,-3.702075958251953,Entire home/apt,406.0
CHEAP & NICE B&B IN MADRID CENTRE,40.41256,-3.70373,Shared room,
Room next to the Metro,40.42432,-3.6399,Private room,35.0
Room for one or two people,40.42432,-3.6399,Private room,30.0
Habitacion con litera para 2 o 3,40.37093,-3.62298,Private room,
I share my flat.Two bedroom.Women.,40.37609,-3.74279,Entire home/apt,
"ROYAL PALACE, OPERA, PLAZA MAYOR, LATINA, SOL",40.41747,-3.70979,Entire home/apt,243.0
Penthouse Plaza Mayor - Felipe III Balcony,40.41584,-3.70683,Entire home/apt,158.0
Lujo a tu alcance,40.47444,-3.67135,Private room,
alquilo habitación,40.43003,-3.67429,Private room,
Apartment  in the center of Madrid,40.41389,-3.70461,Entire home/apt,117.0
Apartment in the heart of Madrid,40.41697,-3.70732,Entire home/apt,97.0
Just in the centre: Malasaña-Chueca,40.42616,-3.70263,Entire home/apt,147.0
Big studio in Gran Vía,40.42105,-3.70349,Entire home/apt,86.0
"CENTRIC NEAR TO M30, 2 BEDROOMS",40.39368,-3.66975,Entire home/apt,52.0
APARTMENT FOR 6 PEOPLE LOCATED IN THE CITYCENTRE,40.41826,-3.71244,Entire home/apt,150.0
Espacio acogedor para tu relax y descanso.,40.43653,-3.70421,Private room,43.0
Stylish apartment in the city center,40.42329,-3.70833,Entire home/apt,114.0
"In the heart of Madrid, cosy and adorable flat",40.40678,-3.69915,Entire home/apt,133.0
Host family in the center of Madrid,40.40333,-3.7025,Private room,46.0
Apartasol Apartamentos Dana,40.42063868265047,-3.705671159481837,Entire home/apt,156.0
Apartamentos Dana Madrid,40.42057,-3.70486,Entire home/apt,147.0
Gran apartamento Plaza de España (Estan.Temporada),40.42482,-3.71084,Entire home/apt,274.0
Downtown Apartment.PLAZA MAYOR.Wifi.Cozy.Cleansed.,40.41429,-3.70649,Entire home/apt,63.0
2br Apartment La Latina / Rastro,40.40687,-3.70917,Entire home/apt,
APARTMENT IN THE CENTRE OF MADRID.,40.41382,-3.69514,Entire home/apt,157.0
Centro/Apartm/Plaza Mayor/Wifi/cozy,40.41497,-3.70853,Entire home/apt,63.0
Cozy bedroom wi-fi /Airport/ Ifema/ Metropolitano.,40.4267,-3.61631,Private room,42.0
Dúplex-Penthouse Cuzco-Castellana Smart,40.45989,-3.69472,Entire home/apt,
DOWNTOWN-APARTMENT-PLAZA MAYOR-COZY-WIFI-PARKING.,40.41399,-3.70776,Entire home/apt,90.0
Madrid - CASCO ANTIGUO - Palacio Real,40.40883973425041,-3.71506993463148,Entire home/apt,100.0
Hermoso loft  Puerta del Sol centro  SWIMMING POOL,40.41403,-3.70453,Entire home/apt,93.0
Nice flat in Madrid city centre,40.40115,-3.69657,Entire home/apt,142.0
habitacion en Malasaña plena centro de Madrid,40.42398,-3.70451,Private room,42.0
Heima Plaza Mayor - Latina 32,40.41027,-3.7122,Entire home/apt,365.0
Cosy flat with terrace near subway,40.43602,-3.63506,Entire home/apt,58.0
Habitacion cerca del aeropuerto Barajas,40.47281,-3.58827,Private room,
"Alojamiento en familia, Madrid",40.4403,-3.63464,Private room,
Cozy  room in Madrid - Atocha (3),40.4077,-3.68473,Private room,38.0
wonderful apartment in the center.,40.4112,-3.69567,Entire home/apt,54.0
Cozy apartment downtown Madrid,40.42171,-3.69823,Entire home/apt,100.0
Tranquilo cerca del Palacio Real,40.42033,-3.70862,Entire home/apt,150.0
Madirid Historical Center.Bathroom,40.41013,-3.70453,Private room,65.0
Beautiful apartment in the center,40.42556,-3.70175,Entire home/apt,68.0
Nice family place close to Féria de Madrid 120SQ.,40.46913,-3.58258,Entire home/apt,148.0
El gusto por los nuevos encuentros.,40.39826,-3.66722,Private room,42.0
"Best Design, Comfort and Location",40.41901,-3.70631,Entire home/apt,106.0
Big cozy room in Atocha (2),40.40646,-3.68289,Private room,38.0
Cozy room - Atocha (1),40.40625,-3.68479,Private room,25.0
Cute and cozy apartment,40.44919,-3.71006,Entire home/apt,
"Central Gran Via Apt | A/C, WIFI & Weekly Cleaning",40.41726,-3.70269,Entire home/apt,97.0
